ProductID,WarehouseID,ProductSupplierID,Name,Type,Description,Weight,PackagingMaterial,Price
12,3,0,TRESemmé Shampoo Smooth and Silky 3 Count Tames and Moisturizes Dry Hair With Moroccan Argan Oil For Professional Quality Salon-Healthy Look And Shine 28 oz,Shampoo,|https://m.media-amazon.com/images/I/81crmp95EaL._AC_UL400_.jpg,,Plastic,16.39
13,0,0,Tigi Bed Head Dumb Blonde Shampoo  25.36 Ounce,Shampoo,|https://m.media-amazon.com/images/I/7113w+mYZzL._AC_UL400_.jpg,,Plastic,75.00
14,1,0,Avalon Organics Shampoo  Clarifying Lemon  11 Oz,Shampoo,|https://m.media-amazon.com/images/I/71wY2rcZadL._AC_UL400_.jpg,,Plastic,7.97
15,2,0,Bumble and Bumble Sunday Shampoo  8 Ounces,Shampoo,|https://m.media-amazon.com/images/I/51gB8Ir5fVL._AC_UL400_.jpg,,Plastic,25.99
16,4,0,Not Your Mothers Clean Freak Refreshing Dry Shampoo  1.6 Ounce,Shampoo,|https://m.media-amazon.com/images/I/61K-7GV2cMS._AC_UL400_.jpg,,Plastic,14.97
17,2,0,Acure Ultra Hydrating Shampoo 100 Vegan  Ultra Hydrating Moisture  Omega Fatty Acids    Yellow Argan Oil  Pumpkin  8 Fl Oz,Shampoo,|https://m.media-amazon.com/images/I/71ridjzS4aL._AC_UL400_.jpg,,Plastic,17.97
18,2,0,Shampoo for Men by American Crew  Daily Cleanser  Naturally Derived  Vegan Formula  Citrus Mint Fragrance  8.45 Fl Oz,Shampoo,|https://m.media-amazon.com/images/I/71gOqCXcNzL._AC_UL400_.jpg,,Plastic,18.99
19,5,0,Dove Nutritive Solutions Moisturizing Shampoo Daily Moisture 4 Count for Dry Hair with Pro-Moisture Complex for Manageable and Silky Hair 12 oz,Shampoo,|https://m.media-amazon.com/images/I/51Bd5IKd20S._AC_UL400_.jpg,,Plastic,25.99
20,5,0,Batiste Batiste dry shampoo  original fragrance  5 Count  6.73 Ounce,Shampoo,|https://m.media-amazon.com/images/I/71356bATExL._AC_UL400_.jpg,,Plastic,30.50
21,5,0,OGX Extra Strength Refreshing Scalp + Teatree Mint   Invigorating Scalp Shampoo with Tea Tree  Peppermint Oil  Witch Hazel  Paraben/ Sulfate-Free Surfactants  13 fl oz,Shampoo,|https://m.media-amazon.com/images/I/51Y+5elZdgL._AC_UL400_.jpg,,Plastic,22.99
22,5,0,Pantene Sulfate Free Shampoo with Castor Oil  Nutrient Blends Fortifying Damage Repair  9.6 fl oz  Pack of 4,Shampoo,|https://m.media-amazon.com/images/I/51lFKRncsaL._AC_UL400_.jpg,,Plastic,9.08
23,2,0,Nourishing Repair Shampoo 33.8oz Macadamia Professional Macadamia Oil and Argan Oil for Hydration  Shine  and Color Protection,Shampoo,|https://m.media-amazon.com/images/I/61XQ5PPkYeL._AC_UL400_.jpg,,Plastic,16.39
24,2,0,Ginger Lily Farms Botanicals Moisturizing Shampoo for All Hair Types  Coco Mango  100 Vegan  Cruelty-Free  Coconut Mango Scent  1 Gallon (128 fl oz) Refill,Shampoo,|https://m.media-amazon.com/images/I/41zuLKfVXwL._AC_UL400_.jpg,,Plastic,6.97
25,4,0,Pantene Shampoo Twin Pack with Hair Treatment  Classic Clean 55.9 fluid ounces,Shampoo,|https://m.media-amazon.com/images/I/71wPZulig2L._AC_UL400_.jpg,,Plastic,7.99
26,0,0,Head and Shoulders Itchy Scalp Care Daily-Use Anti-Dandruff Paraben Free Shampoo  13.5 fl oz,Shampoo,|https://m.media-amazon.com/images/I/617vq2COeHL._AC_UL400_.jpg,,Plastic,8.84
27,0,0,TRESemmé Shampoo Moisture Rich 3 Count for Dry Hair Professional Quality Salon-Healthy Look and Shine Moisture Rich Formulated with Vitamin E and Biotin 28 oz,Shampoo,|https://m.media-amazon.com/images/I/613nQmnnQmL._AC_UL400_.jpg,,Plastic,9.99
28,4,0,Head and Shoulders Shampoo for Men  Men Advanced Series Refreshing Menthol Anti-Dandruff Shampoo  12.8 fl oz  Pack of 6,Shampoo,|https://m.media-amazon.com/images/I/61VFtW881fL._AC_UL400_.jpg,,Plastic,6.97
29,5,0,OGX Renewing + Argan Oil of Morocco Hydrating Hair Shampoo  Cold-Pressed Argan Oil to Help Moisturize  Soften  Strengthen Hair  Paraben-Free with Sulfate-Free Surfactants  25.4 fl oz,Shampoo,|https://m.media-amazon.com/images/I/717mDtm-8PL._AC_UL400_.jpg,,Plastic,9.29
30,1,0,DOVE MEN + CARE Fortifying 2 in 1 Shampoo and Conditioner for Normal to Oily Hair Fresh and Clean with Caffeine Helps Strengthen Thinning Hair 3 oz,Shampoo,|https://m.media-amazon.com/images/I/51plRAuw2eL._AC_UL400_.jpg,,Plastic,21.86
